"Region","Tipos_delito","Ordenado_por","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Coquimbo","Robo de vehículo motorizado","Subgrupo",628,715,956,848,1263,672,653,611,573,1006,1101,1215
"Coquimbo","Robo de objetos de o desde vehículo","Subgrupo",1879,2142,2039,2355,1973,1766,2035,1609,1766,1834,2182,2620
"Coquimbo","Amenaza con armas (falta)","Subgrupo",150,120,137,133,157,157,161,177,146,183,203,148
"Coquimbo","Riña Pública","Subgrupo",117,107,142,146,159,190,252,142,150,190,205,176
"Coquimbo","Consumo de drogas en la vía pública","Subgrupo",422,540,478,492,610,1040,717,489,362,496,589,501
"Coquimbo","Porte de drogas","Subgrupo",142,134,83,49,81,94,69,31,43,48,69,27
"Coquimbo","Otras faltas a la ley de drogas","Subgrupo",0,0,0,0,0,0,0,0,0,0,0,0
"Coquimbo","Consumo de alcohol en la vía pública","Subgrupo",8107,8484,7028,7386,9883,14009,13650,6165,5495,6165,5486,6186
"Coquimbo","Animales sueltos en la vía pública","Subgrupo",147,225,257,229,265,322,342,234,277,367,380,469
"Coquimbo","Comercio ilegal","Subgrupo",449,523,605,779,1252,2387,2291,2797,1225,1060,1473,1214
"Coquimbo","Ofensas al pudor","Subgrupo",9,10,11,13,13,12,23,2349,3111,1270,1024,784
"Coquimbo","Otras incivilidades","Subgrupo",1115,1212,1182,1349,1993,2758,4080,4502,3414,1837,1549,1908
"Coquimbo","Abigeato","Subgrupo",57,90,59,77,45,47,50,45,32,32,37,38
"Coquimbo","Robo frustrado","Subgrupo",279,399,325,365,372,414,385,457,347,688,694,673
"Coquimbo","Otros delitos o faltas","Subgrupo",15130,16007,15383,18064,19802,21529,23993,29210,24880,24539,24301,30584
